DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	MariaDB	.NET	Node.js		
Developer, back-end	United States	Java	Elasticsearch	Cordova	Hadoop	Node.js	
Database administrator	United States	Bash/Shell/PowerShell	DynamoDB	Cordova	Node.js	React Native	
Developer, front-end	Germany	Bash/Shell/PowerShell	Couchbase	Node.js			
Academic researcher	Brazil	Bash/Shell/PowerShell	Elasticsearch	Chef	Node.js		
Database administrator	China	Bash/Shell/PowerShell	PostgreSQL	Hadoop	Node.js		
Developer, back-end	Russian Federation	C#	Microsoft SQL Server	.NET	Node.js		
Data scientist or machine learning specialist	Netherlands	C	PostgreSQL	Pandas			
Data scientist or machine learning specialist	China	C++	MySQL	Apache Spark	Pandas	TensorFlow	Torch/PyTorch
Designer	Canada	Bash/Shell/PowerShell	MySQL	Node.js	React Native		
Developer, back-end	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Other(s):
Developer, front-end	Canada	HTML/CSS	Firebase	Node.js			
Developer, back-end	United States	HTML/CSS	Other(s):	Other(s):			
Developer, front-end	United States	Bash/Shell/PowerShell	MongoDB	Node.js	React Native		
Developer, front-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Data scientist or machine learning specialist	Canada	Assembly	MySQL	TensorFlow			
Developer, front-end	United States	Bash/Shell/PowerShell	MySQL	Hadoop	Node.js		
Designer	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Database administrator	Russian Federation	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	India	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	India	HTML/CSS	MongoDB	Node.js			
Developer, front-end	India	HTML/CSS	MongoDB	Node.js	React Native		
Developer, full-stack	United States	HTML/CSS	MariaDB	Cordova	Node.js		
Developer, back-end	India	C	MongoDB	Node.js			
Academic researcher	Germany	Assembly	MariaDB	Apache Spark	Pandas	TensorFlow	Unity 3D
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	.NET	.NET Core	TensorFlow	Unreal Engine
Developer, full-stack	Australia	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, full-stack	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Designer	United States	HTML/CSS		Unity 3D	Unreal Engine		
Developer, back-end	Australia	Bash/Shell/PowerShell		Chef			
Designer	Spain	HTML/CSS	MongoDB	Node.js	React Native		
Developer, back-end	United States	C++	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Pandas			
Developer, back-end	Brazil	Bash/Shell/PowerShell	Microsoft SQL Server	Pandas	TensorFlow	Torch/PyTorch	
Data or business analyst	Poland	Python	Microsoft SQL Server	Pandas			
Data or business analyst	United States	Python	PostgreSQL	Pandas			
Developer, back-end	France	HTML/CSS	MySQL	Node.js			
Developer, back-end	Netherlands	HTML/CSS	MySQL	Node.js			
Developer, back-end	United Kingdom	Assembly	MongoDB	.NET	.NET Core	Unity 3D	
Developer, front-end	United States	Java	Firebase	Cordova	React Native	Unreal Engine	
Developer, back-end	India	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Node.js	Pandas		
Developer, full-stack	Brazil	Bash/Shell/PowerShell	Cassandra	Cordova	Hadoop	Node.js	Pandas
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Spain	Java	Oracle	Node.js			
Academic researcher	France	HTML/CSS	MariaDB	Puppet			
Developer, full-stack	Brazil	HTML/CSS	MongoDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Cordova	.NET	.NET Core	Node.js
Developer, front-end	United Kingdom	HTML/CSS	Firebase	Node.js			
Developer, back-end	India	HTML/CSS	MongoDB	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Node.js	Puppet
Designer	India	C	Firebase	Cordova	.NET	.NET Core	Node.js
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Chef			
Academic researcher	United States	C	Firebase	Node.js	TensorFlow		
Data scientist or machine learning specialist	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	.NET Core	Node.js		
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Germany	C++	MongoDB	Node.js			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Developer, front-end	United States	HTML/CSS		Cordova	React Native		
Developer, back-end	Poland	Bash/Shell/PowerShell	Elasticsearch	Ansible			
Developer, back-end	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	.NET Core	Unity 3D		
Designer	Brazil	C#	DynamoDB	Cordova	Node.js	Unity 3D	Other(s):
Developer, back-end	India	Go	MariaDB	Node.js	React Native		
Developer, full-stack	United States	C#	PostgreSQL	.NET			
Data or business analyst	Germany	Bash/Shell/PowerShell	MySQL	Other(s):			
Data or business analyst	Greece	Bash/Shell/PowerShell	Cassandra	Apache Spark			
Database administrator	United States	Bash/Shell/PowerShell	MariaDB	Node.js	Unity 3D		
Developer, full-stack	United Kingdom	HTML/CSS	DynamoDB	Node.js			
Developer, back-end	Sweden	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Node.js	
Developer, front-end	Netherlands	HTML/CSS	MySQL	Node.js	React Native		
Designer	India	HTML/CSS	MySQL	Cordova	Node.js	React Native	
Data scientist or machine learning specialist	Germany	C#		.NET	Pandas		
Developer, back-end	Spain	C	MySQL	Apache Spark	Hadoop		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Data scientist or machine learning specialist	Germany	Bash/Shell/PowerShell	MariaDB	Node.js	Pandas		
Database administrator	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Database administrator	Brazil	C++	MariaDB	Cordova	Node.js	React Native	
Designer	United States	Bash/Shell/PowerShell	Firebase	Node.js	React Native	Xamarin	
Academic researcher	United States	Python		TensorFlow			
Developer, back-end	Poland	Bash/Shell/PowerShell	Microsoft SQL Server	Puppet			
Developer, front-end	Germany	Dart	Microsoft SQL Server	Flutter			
Developer, back-end	United States	Go	Cassandra	Chef			
Developer, full-stack	United Kingdom	C#	MongoDB	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	SQLite	Node.js			
Developer, full-stack	Sweden	HTML/CSS	MariaDB	Node.js			
Academic researcher	India	JavaScript	PostgreSQL	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	Other(s):	.NET	.NET Core	Node.js	
Designer	United Kingdom	Assembly	Firebase	Node.js			
Academic researcher	Canada	R	MySQL	Apache Spark			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Academic researcher	United States	Bash/Shell/PowerShell	DynamoDB	Cordova	Node.js	Unity 3D	
Designer	India	Assembly	DynamoDB	Flutter	Node.js		
Developer, front-end	Poland	HTML/CSS	MongoDB	Node.js	React Native	TensorFlow	Unity 3D
Academic researcher	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Designer	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	India	HTML/CSS	Firebase	React Native			
Data scientist or machine learning specialist	India	C	MySQL	Flutter			
Developer, full-stack	United States	HTML/CSS	MySQL	React Native			
Developer, front-end	United States	Bash/Shell/PowerShell	MySQL	Cordova	React Native	Unity 3D	
Developer, back-end	Brazil	Bash/Shell/PowerShell	MongoDB	Ansible	Node.js		
Designer	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Data scientist or machine learning specialist	Ukraine	C++	MongoDB	.NET	.NET Core	Node.js	TensorFlow
Data or business analyst	United States	Java	Microsoft SQL Server	Apache Spark	Hadoop	Pandas	
Developer, back-end	India	Bash/Shell/PowerShell	MongoDB	Cordova	Node.js		
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Node.js	Unity 3D
Data or business analyst	United States	Bash/Shell/PowerShell	MySQL	Apache Spark	Node.js		
Developer, back-end	India	C#	MariaDB	Apache Spark	Unity 3D	Xamarin	
Developer, back-end	Germany	Bash/Shell/PowerShell	PostgreSQL	.NET Core			
Developer, full-stack	United States	HTML/CSS	Elasticsearch	Node.js	Pandas	TensorFlow	
Developer, full-stack	Germany	C#	Oracle	.NET	.NET Core	Xamarin	
Developer, front-end	Canada	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	Chef			
Designer	Pakistan	C++	MySQL	.NET			
Developer, back-end	Canada	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, full-stack	India	C	Couchbase	Node.js			
Developer, front-end	United States	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, front-end	India	C		Cordova			
Developer, front-end	Greece	C	Oracle	Unity 3D			
Developer, full-stack	Italy	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United Kingdom	HTML/CSS	MariaDB	Ansible	.NET Core	Node.js	React Native
Developer, full-stack	United Kingdom	C#	DynamoDB	Node.js			
Database administrator	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Germany	Java	Oracle	Other(s):			
Developer, back-end	France	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, front-end	Germany	HTML/CSS	Firebase	Cordova	Node.js		
Academic researcher	United Kingdom	C++	Microsoft SQL Server	.NET	.NET Core	Node.js	
Data scientist or machine learning specialist	United States	Python	Microsoft SQL Server	Hadoop	Pandas		
Developer, back-end	France	Bash/Shell/PowerShell	MySQL	Node.js			
Database administrator	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Ansible	Puppet		
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Apache Spark			
Developer, front-end	India	C#	Elasticsearch	Ansible	.NET	.NET Core	Node.js
Academic researcher	United States	C	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Germany	C++	Elasticsearch	.NET			
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET			
Developer, full-stack	Spain	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	United States	Bash/Shell/PowerShell	MongoDB	Ansible	Node.js		
Data or business analyst	Spain	C#	Elasticsearch	.NET	.NET Core	React Native	
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	France	Bash/Shell/PowerShell	Elasticsearch	Ansible			
Data or business analyst	India	JavaScript	MariaDB	Hadoop			
Database administrator	United States	C#	Elasticsearch	.NET	.NET Core		
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Other(s):	
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	TensorFlow			
Developer, back-end	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Data or business analyst	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, full-stack	Germany	C++		.NET	.NET Core		
Database administrator	Brazil	HTML/CSS	MySQL	Cordova	Node.js	React Native	
Academic researcher	United States	Bash/Shell/PowerShell	MySQL	Apache Spark	Hadoop		
Database administrator	Australia	HTML/CSS	MongoDB	Node.js	Pandas	Puppet	
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	India	Clojure	Cassandra	Ansible			
Developer, full-stack	United States	Assembly	MySQL	Ansible	Flutter	Node.js	Pandas
Developer, full-stack	India	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	Greece	C#	Firebase	.NET	Node.js	TensorFlow	Torch/PyTorch
Developer, full-stack	France	HTML/CSS	Elasticsearch	Node.js			
Designer	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Unity 3D	
Developer, full-stack	United States	C#	MongoDB	.NET			
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET			
Developer, back-end	France	C#	Microsoft SQL Server	.NET	Other(s):		
Developer, full-stack	India	C#	Elasticsearch	Hadoop	.NET	.NET Core	Node.js
Developer, back-end	United States	C#	Microsoft SQL Server	.NET Core	Node.js	React Native	Unity 3D
Developer, back-end	United States	Bash/Shell/PowerShell	Cassandra	Chef			
Developer, back-end	Germany	Bash/Shell/PowerShell	MariaDB	Cordova	.NET	.NET Core	Node.js
Data or business analyst	India	Java	MySQL	Node.js			
Developer, back-end	India	Assembly	Firebase	Flutter			
Developer, front-end	United States	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Node.js	
Data or business analyst	Turkey	C#	Microsoft SQL Server	.NET	Node.js	Pandas	
Developer, back-end	Turkey	C#	Microsoft SQL Server	Cordova	.NET		
Developer, front-end	Netherlands	HTML/CSS	MongoDB	Cordova	Node.js		
Designer	Spain	Scala	PostgreSQL	Apache Spark	Hadoop		
Developer, back-end	Poland	Bash/Shell/PowerShell	PostgreSQL	Ansible			
Developer, back-end	Turkey	C++	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	Spain	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js	React Native	
Developer, full-stack	United States	HTML/CSS	Firebase	Ansible	Cordova	Node.js	React Native
Developer, back-end	United States	Bash/Shell/PowerShell	Other(s):	Ansible	Apache Spark		
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Data scientist or machine learning specialist	United Kingdom	Clojure		Pandas	TensorFlow		
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	United Kingdom	C#	MariaDB	.NET Core			
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	Flutter	.NET	.NET Core	Node.js
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Academic researcher	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Pandas
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, back-end	France	Bash/Shell/PowerShell		.NET Core	TensorFlow		
Developer, back-end	Sweden	C#	Elasticsearch	.NET	.NET Core	Other(s):	
Developer, full-stack	India	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core		
Developer, full-stack	United States	Java	DynamoDB	Apache Spark	Node.js		
Designer	United States	C#	Microsoft SQL Server	.NET Core	Node.js		
Academic researcher	Brazil	C++	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Data or business analyst	United States	Bash/Shell/PowerShell	MySQL	Ansible	Apache Spark	Chef	Hadoop
Academic researcher	Australia	Bash/Shell/PowerShell	MongoDB	Pandas			
Developer, full-stack	United States	HTML/CSS	Firebase	Pandas			
Developer, back-end	United States	Assembly	Cassandra	Node.js			
Data scientist or machine learning specialist	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	Hadoop	Pandas	TensorFlow
Developer, full-stack	United States	C#	PostgreSQL	Apache Spark	.NET		
Developer, back-end	Italy	Bash/Shell/PowerShell	MySQL	Ansible	Cordova	Node.js	
Database administrator	Brazil	Bash/Shell/PowerShell	Cassandra	Chef	Hadoop	Pandas	Puppet
Developer, back-end	Russian Federation	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Germany	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core		
Developer, back-end	India	C	Microsoft SQL Server	Chef	.NET	.NET Core	Node.js
Developer, back-end	Germany	HTML/CSS	PostgreSQL	Node.js	React Native		
Developer, back-end	Germany	C#	Microsoft SQL Server	.NET	.NET Core	Unity 3D	
Academic researcher	Spain	Bash/Shell/PowerShell		Pandas	TensorFlow	Other(s):	
Developer, back-end	United States	Assembly		Ansible	.NET	.NET Core	Node.js
Developer, full-stack	Brazil	HTML/CSS	PostgreSQL	Ansible	Unity 3D		
Data scientist or machine learning specialist	Netherlands	C	MariaDB	.NET Core	Node.js	Pandas	
Designer	United States	C++	MariaDB	Flutter	React Native	TensorFlow	Unity 3D
Developer, back-end	India	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core		
Developer, back-end	China	C#	Oracle	.NET			
Developer, full-stack	India	HTML/CSS	MySQL	.NET Core	Node.js		
Developer, back-end	Brazil	Assembly	Firebase	.NET Core			
Data scientist or machine learning specialist	United Kingdom	Bash/Shell/PowerShell	MySQL	Pandas	Torch/PyTorch		
Developer, back-end	Germany	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	Unity 3D
Developer, full-stack	Brazil	Bash/Shell/PowerShell	MongoDB	Hadoop	Node.js		
Data or business analyst	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	TensorFlow	
Developer, back-end	Spain	Bash/Shell/PowerShell	MariaDB	Cordova			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET Core			
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, full-stack	Germany	Bash/Shell/PowerShell	Elasticsearch	Ansible	Node.js		
Developer, back-end	Germany	HTML/CSS	MariaDB	Node.js	Unity 3D		
Developer, back-end	Russian Federation	Bash/Shell/PowerShell	MongoDB	Ansible			
Developer, back-end	Canada	Java	DynamoDB	Node.js	React Native		
Data or business analyst	France	Bash/Shell/PowerShell	Cassandra	Apache Spark	Hadoop	Pandas	
Designer	United States	HTML/CSS	Elasticsearch	Ansible	Node.js		
Developer, front-end	United Kingdom	HTML/CSS		Node.js			
Data or business analyst	India	Assembly	MongoDB	.NET	Unity 3D		
Developer, full-stack	Australia	C#	MariaDB	Flutter	.NET	.NET Core	Node.js
Designer	United States	Bash/Shell/PowerShell	Firebase	Cordova	.NET	.NET Core	Node.js
Developer, back-end	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Academic researcher	Italy	Bash/Shell/PowerShell	PostgreSQL	Apache Spark	Hadoop	React Native	TensorFlow
Data scientist or machine learning specialist	Ukraine	Bash/Shell/PowerShell	Elasticsearch	Node.js	Pandas	TensorFlow	Torch/PyTorch
Developer, back-end	Germany	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	Netherlands	C#	Elasticsearch	Ansible	.NET	.NET Core	
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Developer, full-stack	India	HTML/CSS	Firebase	Cordova	Node.js	Unity 3D	
Developer, full-stack	United States	HTML/CSS	Firebase	Node.js	React Native		
Data or business analyst	United Kingdom	C	MySQL	Apache Spark	Unity 3D		
Designer	India	Bash/Shell/PowerShell	MongoDB	Hadoop			
Academic researcher	Brazil	Assembly	SQLite	Node.js	TensorFlow		
Developer, full-stack	United States	HTML/CSS	DynamoDB	Node.js			
Developer, full-stack	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	United States	C++	MariaDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Pandas	
Developer, back-end	United States	C#	Microsoft SQL Server	.NET			
Data or business analyst	United States	Python	PostgreSQL	Pandas			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	Node.js	Unity 3D	
Developer, full-stack	Germany	Java	Couchbase	Node.js	React Native	TensorFlow	
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Academic researcher	Russian Federation	C++	SQLite	Pandas			
Developer, back-end	India	Dart	Firebase	Apache Spark	Cordova	Flutter	
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Designer	United States	C++	MySQL	.NET	.NET Core	TensorFlow	Unity 3D
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Academic researcher	Germany	Bash/Shell/PowerShell	MariaDB	React Native	Other(s):		
Developer, full-stack	United States	Bash/Shell/PowerShell		Hadoop	Node.js	React Native	Unity 3D
Database administrator	Spain	C	Microsoft SQL Server	.NET	.NET Core	Node.js	
Data or business analyst	Australia	Bash/Shell/PowerShell	MySQL	Ansible	Puppet		
Data scientist or machine learning specialist	Brazil	Python	PostgreSQL	Pandas			
Developer, back-end	India	HTML/CSS	MySQL	Cordova			
Developer, full-stack	Sweden	C	MariaDB	Apache Spark			
Designer	United States	Bash/Shell/PowerShell	Couchbase	Ansible	Flutter	.NET	Node.js
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Node.js			
Data or business analyst	United States	Bash/Shell/PowerShell	Oracle	Apache Spark	Hadoop		
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js	Pandas		
Designer	Poland	C#	Microsoft SQL Server	.NET			
Developer, full-stack	France	Bash/Shell/PowerShell	MariaDB	Node.js			
Data or business analyst	Canada	C#	SQLite	.NET			
Developer, front-end	India	C	MongoDB	React Native			
Developer, back-end	Canada	C#	MariaDB	Cordova	.NET	.NET Core	Node.js
Developer, front-end	United States	Bash/Shell/PowerShell	MySQL	Node.js	TensorFlow		
Data or business analyst	United States	C#		.NET	.NET Core	Pandas	
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	France	Bash/Shell/PowerShell	Cassandra	Ansible			
Developer, QA or test	United Kingdom	Assembly	SQLite	.NET	Xamarin		
Designer	United States	HTML/CSS	Firebase	Node.js			
Academic researcher	India	C#	MongoDB	.NET	.NET Core		
Developer, full-stack	United Kingdom	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, full-stack	United States	C++	Microsoft SQL Server	Ansible	Node.js	React Native	
Developer, full-stack	France	JavaScript	MongoDB	Node.js			
Developer, back-end	Germany	C	PostgreSQL	.NET	.NET Core	Node.js	
Data or business analyst	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Academic researcher	United States	Bash/Shell/PowerShell	MariaDB	Node.js	Unity 3D	Unreal Engine	Other(s):
Developer, front-end	Germany	HTML/CSS	MySQL	Node.js			
Developer, back-end	India	JavaScript	MySQL	Node.js			
Developer, full-stack	India	C	Cassandra	Cordova	Node.js	React Native	
Designer	United States	C#	Microsoft SQL Server	.NET			
Designer	Germany	C#		.NET	.NET Core	Unity 3D	Xamarin
Developer, front-end	United Kingdom	JavaScript	Firebase	Other(s):			
Academic researcher	Germany	C	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Germany	C++	PostgreSQL	.NET	Node.js	Unity 3D	Unreal Engine
Academic researcher	Turkey	HTML/CSS	MariaDB	React Native			
Developer, back-end	France	Bash/Shell/PowerShell	Elasticsearch	Node.js	Other(s):		
Developer, back-end	United States	HTML/CSS	Redis	.NET	Node.js		
Developer, back-end	Pakistan	HTML/CSS	Firebase	Unity 3D			
DevOps specialist	United Kingdom	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	Node.js	Pandas	TensorFlow	
Developer, back-end	India	Java	Elasticsearch	Apache Spark	Hadoop		
Developer, back-end	United States	Go	MariaDB	Ansible			
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Unity 3D	Xamarin	
Developer, front-end	United States	HTML/CSS	MongoDB	Node.js			
Developer, front-end	United States	HTML/CSS		Cordova	Node.js		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Node.js	
Database administrator	Sweden	C#	Microsoft SQL Server	.NET			
Developer, back-end	Italy	HTML/CSS	MongoDB	Node.js	React Native		
Developer, full-stack	United States	C#	Microsoft SQL Server	Hadoop	Unity 3D		
Developer, back-end	United Kingdom	C++	MySQL	Node.js			
Developer, back-end	Brazil	C	Microsoft SQL Server	.NET			
Designer	Italy	C#	Microsoft SQL Server	.NET			
Developer, back-end	India	Bash/Shell/PowerShell	MySQL	Node.js			
Academic researcher	United States	Bash/Shell/PowerShell		.NET			
Data scientist or machine learning specialist	United States	C++		TensorFlow	Unity 3D		
Developer, front-end	United Kingdom	HTML/CSS		Node.js			
Developer, full-stack	India	Bash/Shell/PowerShell	MySQL	Node.js			
Database administrator	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET			
Developer, front-end	United States	C#	Microsoft SQL Server	.NET Core	Node.js		
Developer, back-end	France	HTML/CSS	DynamoDB	Ansible	Pandas		
Developer, back-end	India	C	MongoDB	Node.js			
Academic researcher	India	C	Microsoft SQL Server	.NET	Node.js		
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	.NET	Node.js	Unity 3D	
Developer, back-end	Sweden	C#	MongoDB	.NET	.NET Core		
Designer	China	C		Flutter	Node.js	TensorFlow	Unity 3D
Database administrator	United States	C++	Microsoft SQL Server	.NET	.NET Core	Unreal Engine	
Developer, back-end	Netherlands	C#	MariaDB	.NET Core	Node.js	Unity 3D	
Developer, front-end	United States	HTML/CSS	DynamoDB	Cordova	Node.js	TensorFlow	
Developer, back-end	United States	Assembly	Microsoft SQL Server	.NET	Node.js		
Designer	Poland	HTML/CSS		Node.js			
Designer	United Kingdom	Bash/Shell/PowerShell	Couchbase	Puppet	Unity 3D	Other(s):	
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET			
Developer, full-stack	Germany	HTML/CSS	Couchbase	Ansible	Node.js		
Developer, full-stack	France	HTML/CSS	Elasticsearch	Ansible	Node.js		
Developer, back-end	Italy	Assembly	Firebase	Hadoop			
Developer, front-end	France	HTML/CSS	Cassandra	Node.js			
Developer, front-end	India	HTML/CSS		React Native			
Designer	Poland	JavaScript	MongoDB	Node.js			
Developer, back-end	Brazil	Bash/Shell/PowerShell	MySQL	Node.js			
Designer	India	HTML/CSS	Firebase	Node.js			
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	Canada	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	React Native
Developer, back-end	Australia	C	PostgreSQL	.NET	.NET Core	Node.js	TensorFlow
Designer	Germany	Dart	MySQL	Flutter			
Academic researcher	Canada	C#	DynamoDB	.NET	.NET Core		
Developer, back-end	Poland	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, back-end	China	Bash/Shell/PowerShell	Oracle	Node.js			
Developer, back-end	France	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	TensorFlow
Developer, back-end	Poland	JavaScript	PostgreSQL	Node.js	TensorFlow	Torch/PyTorch	
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Node.js	
Developer, back-end	Greece	C#	Microsoft SQL Server	.NET	Unity 3D		
Developer, back-end	Spain	C#	Microsoft SQL Server	.NET			
Data or business analyst	India	C	MySQL	Cordova	Node.js		
Data scientist or machine learning specialist	Germany	C		React Native			
Database administrator	India	HTML/CSS	MySQL	Apache Spark			
Database administrator	United Kingdom	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	Xamarin
Developer, back-end	Poland	Bash/Shell/PowerShell	MySQL	Ansible			
Developer, back-end	Turkey	C#	Elasticsearch	.NET	.NET Core		
Developer, back-end	Russian Federation	C#	Microsoft SQL Server	.NET			
