DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Database administrator	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Developer, full-stack	Spain		Microsoft SQL Server	.NET	.NET Core		
Database administrator	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Developer, back-end	Brazil	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core		
Developer, front-end	Germany	HTML/CSS		Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, full-stack	Germany	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Other(s):	
Developer, front-end	Australia	C#		.NET			
Database administrator	United States	SQL	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Node.js			
Developer, full-stack	United States	HTML/CSS		Node.js	React Native		
Academic researcher	Germany	Bash/Shell/PowerShell	MariaDB	.NET			
Developer, back-end	Russian Federation	HTML/CSS	MySQL	Cordova	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	India	HTML/CSS	Firebase	Node.js			
Developer, back-end	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Data or business analyst	Russian Federation	HTML/CSS	MongoDB	Cordova	React Native		
Developer, back-end	Poland	Java	PostgreSQL	TensorFlow			
Database administrator	India	HTML/CSS	MySQL	Cordova	.NET	.NET Core	Node.js
Developer, back-end	India	Java	MongoDB	Node.js			
Developer, full-stack	India	C#	Microsoft SQL Server	.NET			
Developer, back-end	France	HTML/CSS	Firebase	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js			
Developer, back-end	Poland	Java	MariaDB	Ansible			
Developer, back-end	Poland	Bash/Shell/PowerShell	Elasticsearch	Node.js	React Native		
Developer, back-end	Germany	Bash/Shell/PowerShell	MongoDB	CryEngine	.NET	Node.js	Unity 3D
Developer, full-stack	India	C	Microsoft SQL Server	.NET			
Developer, front-end	India	HTML/CSS	Firebase	Node.js	React Native		
Developer, back-end	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MySQL	Pandas	Other(s):		
Developer, full-stack	India	C	MySQL	Node.js			
DevOps specialist	United States	Bash/Shell/PowerShell	DynamoDB	Ansible	.NET Core	Other(s):	
Developer, back-end	Canada	C++		.NET	.NET Core		
Developer, full-stack	United States	HTML/CSS	Firebase	Node.js	React Native		
Designer	India	HTML/CSS	Microsoft SQL Server	Node.js	Pandas	React Native	TensorFlow
Data or business analyst	Netherlands	Bash/Shell/PowerShell		Pandas			
Academic researcher	United States	Python		TensorFlow			
Data or business analyst	Russian Federation	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Developer, back-end	Ukraine	Bash/Shell/PowerShell	PostgreSQL	.NET	.NET Core	Node.js	Xamarin
Database administrator	Ukraine	Elixir	Cassandra	Other(s):			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js	Pandas	TensorFlow	Torch/PyTorch
Developer, back-end	India	JavaScript	PostgreSQL	Pandas			
Database administrator	United States	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	Xamarin
Data scientist or machine learning specialist	Canada	Bash/Shell/PowerShell	PostgreSQL	Pandas	Unity 3D		
Academic researcher	United States	Assembly	DynamoDB	Ansible	TensorFlow		
Developer, full-stack	Netherlands	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Database administrator	Australia	Python	Microsoft SQL Server	Pandas			
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Developer, full-stack	Sweden	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell		Node.js	Pandas		
Developer, full-stack	Germany	Bash/Shell/PowerShell	DynamoDB	Ansible	Cordova	Flutter	Node.js
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET Core	Node.js		
Data scientist or machine learning specialist	United Kingdom	Assembly	MariaDB	Pandas			
Academic researcher	Canada	C	SQLite	TensorFlow	Torch/PyTorch		
Designer	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js	Unity 3D	Xamarin	
Academic researcher	France	Assembly	MongoDB	Apache Spark	Chef	.NET Core	
Developer, back-end	Brazil	Assembly	PostgreSQL	Ansible	Node.js		
Data or business analyst	China	Bash/Shell/PowerShell	MySQL	Hadoop	Pandas		
Database administrator	India	C	MariaDB	Cordova	.NET	Node.js	Unity 3D
Academic researcher	Germany	C#		.NET	.NET Core	Xamarin	
Developer, QA or test	Germany	Java	MySQL	Pandas	Unity 3D		
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	.NET			
Developer, back-end	Netherlands	C#	Couchbase	.NET	.NET Core		
Data or business analyst	United States	C#	Microsoft SQL Server	.NET	Node.js		
Developer, back-end	Ukraine	C#	Elasticsearch	.NET	.NET Core		
Developer, full-stack	India	C#	MongoDB	.NET	.NET Core	Node.js	
Developer, full-stack	United States	C#	MariaDB	.NET	.NET Core	Xamarin	
Developer, back-end	India	Bash/Shell/PowerShell	DynamoDB	Chef	Node.js	Pandas	Puppet
Designer	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MySQL	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	
Database administrator	Italy	Bash/Shell/PowerShell	DynamoDB	Apache Spark	Cordova	Node.js	Pandas
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Academic researcher	Spain	Bash/Shell/PowerShell	Cassandra	Apache Spark	TensorFlow		
Developer, back-end	Germany	Bash/Shell/PowerShell	MySQL	.NET			
Developer, back-end	United States	Java	Firebase	Hadoop	.NET		
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell		Node.js			
Data or business analyst	India	Assembly	Firebase	Flutter	.NET	Node.js	Unity 3D
Developer, full-stack	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js	React Native		
Academic researcher	India	C#	Elasticsearch	.NET	Node.js		
Developer, back-end	Canada	C#	Microsoft SQL Server	.NET			
